PRODUCT_LINE,GENDER,AGE,MARITAL_STATUS,PROFESSION
Outdoor Protection,Male,42,Married,Sales
Camping Equipment,Female,40,Married,Other
Outdoor Protection,Female,40,Married,Other
Personal Accessories,Female,21,Married,Other
Mountaineering Equipment,Female,19,Single,Other
Camping Equipment,Female,43,Married,Other
Mountaineering Equipment,Female,43,Married,Other
Camping Equipment,Female,31,Married,Other
Outdoor Protection,Female,31,Married,Other
Camping Equipment,Female,49,Married,Executive
Outdoor Protection,Female,49,Married,Executive
Golf Equipment,Male,43,Married,Trades
Golf Equipment,Male,43,Married,Trades
Camping Equipment,Female,29,Single,Hospitality
Camping Equipment,Female,29,Single,Hospitality
Camping Equipment,Female,24,Single,Retail
Mountaineering Equipment,Male,20,Single,Other
Mountaineering Equipment,Male,20,Single,Other
Camping Equipment,Male,33,Married,Executive
Mountaineering Equipment,Male,19,Single,Other
Personal Accessories,Male,27,Married,Other
Camping Equipment,Male,27,Married,Executive
Mountaineering Equipment,Male,27,Married,Executive
Mountaineering Equipment,Male,27,Married,Executive
Camping Equipment,Female,22,Single,Other
Camping Equipment,Female,22,Single,Other
Personal Accessories,Female,25,Single,Retail
Camping Equipment,Female,39,Married,Other
Personal Accessories,Female,28,Single,Other
Camping Equipment,Female,20,Single,Student
Camping Equipment,Female,46,Married,Other
Camping Equipment,Female,46,Married,Other
Mountaineering Equipment,Male,22,Single,Other
Camping Equipment,Female,40,Married,Other
Camping Equipment,Female,27,Single,Other
Personal Accessories,Female,57,Married,Retired
Golf Equipment,Female,27,Single,Other
Mountaineering Equipment,Female,27,Single,Other
Personal Accessories,Female,21,Single,Other
Personal Accessories,Female,25,Married,Executive
Camping Equipment,Male,35,Married,Other
Camping Equipment,Male,39,Married,Executive
Outdoor Protection,Male,39,Married,Executive
Camping Equipment,Female,33,Married,Hospitality
Personal Accessories,Female,23,Single,Retail
Camping Equipment,Female,44,Married,Other
Camping Equipment,Male,31,Married,Sales
Camping Equipment,Male,31,Married,Sales
Personal Accessories,Female,23,Single,Retail
Outdoor Protection,Male,24,Single,Student
Personal Accessories,Male,24,Single,Student
Camping Equipment,Male,31,Single,Professional
Camping Equipment,Male,31,Single,Professional
Personal Accessories,Female,19,Single,Retail
Camping Equipment,Male,33,Single,Other
Camping Equipment,Male,33,Single,Other
Personal Accessories,Male,41,Married,Other
Camping Equipment,Female,25,Married,Other
Camping Equipment,Female,25,Married,Other
Golf Equipment,Male,43,Single,Other
Personal Accessories,Male,43,Single,Other
Camping Equipment,Male,43,Single,Other
Camping Equipment,Male,19,Single,Other
Camping Equipment,Male,19,Single,Other
Camping Equipment,Male,28,Single,Sales
Camping Equipment,Male,28,Single,Sales
Camping Equipment,Male,27,Single,Sales
Camping Equipment,Female,38,Married,Other
Camping Equipment,Female,38,Married,Other
Camping Equipment,Male,37,Married,Trades
Mountaineering Equipment,Female,34,Married,Other
Personal Accessories,Female,34,Married,Other
Camping Equipment,Female,46,Married,Executive
Outdoor Protection,Female,46,Married,Executive
Camping Equipment,Male,41,Married,Other
Personal Accessories,Male,41,Married,Other
Camping Equipment,Male,44,Single,Professional
Personal Accessories,Female,38,Single,Retail
Camping Equipment,Female,31,Married,Hospitality
Camping Equipment,Female,31,Married,Hospitality
Camping Equipment,Female,27,Married,Retail
Personal Accessories,Female,27,Married,Retail
Personal Accessories,Female,45,Married,Other
Outdoor Protection,Male,24,Single,Student
Personal Accessories,Male,24,Single,Student
Mountaineering Equipment,Male,39,Married,Other
Mountaineering Equipment,Male,39,Married,Other
Personal Accessories,Female,28,Single,Student
Personal Accessories,Female,28,Single,Student
Golf Equipment,Male,32,Single,Other
Golf Equipment,Male,32,Single,Other
Golf Equipment,Male,32,Single,Other
Personal Accessories,Female,52,Unspecified,Hospitality
Camping Equipment,Male,37,Unspecified,Trades
Mountaineering Equipment,Male,29,Single,Professional
Personal Accessories,Male,41,Married,Professional
Personal Accessories,Female,34,Single,Retail
Golf Equipment,Female,50,Married,Other
Golf Equipment,Female,50,Married,Other
Camping Equipment,Male,27,Single,Trades
Personal Accessories,Female,27,Single,Other
Personal Accessories,Male,19,Single,Professional
Camping Equipment,Female,23,Married,Other
Outdoor Protection,Female,23,Married,Other
Camping Equipment,Male,36,Married,Sales
Personal Accessories,Female,27,Single,Other
Camping Equipment,Female,23,Single,Hospitality
Personal Accessories,Male,27,Married,Other
Camping Equipment,Male,41,Married,Executive
Outdoor Protection,Female,28,Single,Other
Camping Equipment,Female,31,Married,Professional
Camping Equipment,Male,32,Married,Executive
Camping Equipment,Male,32,Married,Executive
Personal Accessories,Female,64,Married,Other
Personal Accessories,Female,27,Single,Student
Personal Accessories,Female,29,Married,Other
Golf Equipment,Male,36,Married,Executive
Camping Equipment,Male,35,Married,Executive
Mountaineering Equipment,Male,35,Married,Executive
Mountaineering Equipment,Male,35,Married,Executive
Mountaineering Equipment,Male,35,Married,Executive
Mountaineering Equipment,Male,35,Married,Executive
Mountaineering Equipment,Male,35,Married,Executive
Camping Equipment,Female,48,Married,Retail
Personal Accessories,Female,48,Married,Retail
Camping Equipment,Male,34,Married,Other
Camping Equipment,Male,34,Married,Other
Camping Equipment,Male,22,Single,Sales
Camping Equipment,Male,28,Single,Professional
Personal Accessories,Female,35,Single,Professional
Personal Accessories,Female,38,Married,Executive
Camping Equipment,Male,39,Single,Other
Personal Accessories,Female,24,Single,Student
Personal Accessories,Female,31,Single,Other
Camping Equipment,Male,42,Married,Other
Camping Equipment,Male,42,Married,Other
Camping Equipment,Female,23,Single,Hospitality
Personal Accessories,Female,36,Married,Other
Outdoor Protection,Female,36,Married,Other
Personal Accessories,Female,22,Single,Student
Personal Accessories,Female,26,Single,Sales
Mountaineering Equipment,Male,31,Single,Trades
Mountaineering Equipment,Male,31,Single,Trades
Mountaineering Equipment,Female,31,Married,Other
Personal Accessories,Female,49,Married,Professional
Personal Accessories,Female,22,Single,Retail
Camping Equipment,Male,37,Married,Other
Personal Accessories,Male,25,Single,Other
Camping Equipment,Male,37,Married,Trades
Camping Equipment,Male,37,Married,Trades
Camping Equipment,Male,43,Married,Sales
Camping Equipment,Male,43,Married,Sales
Camping Equipment,Male,43,Married,Sales
Mountaineering Equipment,Male,43,Single,Other
Mountaineering Equipment,Male,43,Single,Other
Mountaineering Equipment,Male,43,Single,Other
Mountaineering Equipment,Male,43,Single,Other
Mountaineering Equipment,Female,35,Married,Professional
Personal Accessories,Female,35,Married,Professional
Camping Equipment,Female,49,Married,Other
Camping Equipment,Female,49,Married,Other
Camping Equipment,Female,35,Unspecified,Hospitality
Mountaineering Equipment,Female,35,Unspecified,Hospitality
Mountaineering Equipment,Female,35,Unspecified,Hospitality
Mountaineering Equipment,Female,35,Unspecified,Hospitality
Mountaineering Equipment,Male,28,Single,Professional
Personal Accessories,Male,35,Married,Other
Mountaineering Equipment,Male,26,Married,Executive
Personal Accessories,Male,44,Married,Other
Mountaineering Equipment,Male,28,Married,Other
Mountaineering Equipment,Male,28,Married,Other
Camping Equipment,Female,38,Married,Executive
Personal Accessories,Male,22,Single,Professional
Mountaineering Equipment,Male,22,Single,Professional
Mountaineering Equipment,Male,24,Single,Retail
Mountaineering Equipment,Male,24,Single,Retail
Camping Equipment,Male,24,Single,Retail
Camping Equipment,Female,41,Unspecified,Hospitality
Outdoor Protection,Female,41,Unspecified,Hospitality
Personal Accessories,Female,29,Single,Other
Personal Accessories,Female,65,Unspecified,Hospitality
Camping Equipment,Male,42,Married,Sales
Personal Accessories,Female,40,Married,Sales
Mountaineering Equipment,Male,37,Unspecified,Trades
Mountaineering Equipment,Male,37,Unspecified,Trades
Personal Accessories,Male,37,Unspecified,Trades
Personal Accessories,Female,32,Married,Executive
Camping Equipment,Female,21,Single,Hospitality
Camping Equipment,Female,21,Single,Hospitality
Camping Equipment,Male,43,Married,Sales
Personal Accessories,Female,67,Married,Other
Camping Equipment,Male,40,Married,Other
Camping Equipment,Male,40,Married,Other
Mountaineering Equipment,Male,19,Single,Student
Mountaineering Equipment,Male,19,Single,Student
Camping Equipment,Male,19,Single,Student
Mountaineering Equipment,Female,39,Married,Other
Golf Equipment,Male,50,Unspecified,Other
Golf Equipment,Male,50,Unspecified,Other
Camping Equipment,Male,29,Single,Trades
Camping Equipment,Male,29,Single,Trades
Personal Accessories,Female,48,Unspecified,Hospitality
Personal Accessories,Female,22,Single,Retail
Camping Equipment,Female,37,Married,Other
Camping Equipment,Male,23,Single,Executive
Camping Equipment,Male,23,Single,Executive
Personal Accessories,Female,37,Married,Professional
Camping Equipment,Female,32,Married,Executive
Outdoor Protection,Female,32,Married,Executive
Personal Accessories,Female,19,Single,Other
Personal Accessories,Female,26,Single,Other
Personal Accessories,Male,39,Married,Other
Camping Equipment,Female,37,Married,Other
Outdoor Protection,Female,37,Married,Other
Camping Equipment,Female,20,Married,Retail
Mountaineering Equipment,Female,51,Married,Other
Personal Accessories,Female,24,Single,Professional
Camping Equipment,Male,38,Single,Professional
Camping Equipment,Male,38,Single,Professional
Camping Equipment,Male,38,Single,Professional
Camping Equipment,Male,38,Married,Trades
Mountaineering Equipment,Male,36,Married,Trades
Personal Accessories,Male,36,Married,Trades
Camping Equipment,Female,44,Married,Executive
Personal Accessories,Female,20,Single,Other
Mountaineering Equipment,Male,31,Single,Professional
Mountaineering Equipment,Male,31,Single,Professional
Camping Equipment,Female,46,Married,Hospitality
Outdoor Protection,Female,46,Married,Hospitality
Mountaineering Equipment,Male,32,Single,Other
Mountaineering Equipment,Male,28,Single,Trades
Mountaineering Equipment,Male,28,Single,Trades
Mountaineering Equipment,Male,28,Single,Trades
Mountaineering Equipment,Female,37,Married,Other
Personal Accessories,Female,37,Married,Other
Outdoor Protection,Female,37,Married,Other
Camping Equipment,Male,33,Single,Other
Personal Accessories,Female,29,Single,Retail
Camping Equipment,Male,35,Married,Other
Camping Equipment,Male,35,Married,Other
Personal Accessories,Female,28,Single,Professional
Personal Accessories,Male,32,Married,Professional
Golf Equipment,Male,31,Single,Other
Golf Equipment,Male,31,Single,Other
Personal Accessories,Female,22,Single,Professional
Camping Equipment,Male,26,Single,Sales
Camping Equipment,Male,44,Married,Trades
Mountaineering Equipment,Male,30,Married,Professional
Personal Accessories,Female,28,Single,Retail
Personal Accessories,Female,28,Married,Executive
Camping Equipment,Male,29,Single,Other
Camping Equipment,Male,29,Single,Other
Camping Equipment,Male,35,Married,Sales
Camping Equipment,Male,40,Married,Other
Mountaineering Equipment,Male,40,Married,Other
Outdoor Protection,Male,21,Single,Student
Camping Equipment,Male,29,Single,Professional
Golf Equipment,Male,40,Married,Other
Golf Equipment,Male,46,Married,Professional
Golf Equipment,Male,46,Married,Professional
Golf Equipment,Male,46,Married,Professional
Personal Accessories,Male,31,Unspecified,Professional
Camping Equipment,Male,22,Single,Sales
Camping Equipment,Male,22,Single,Sales
Personal Accessories,Female,35,Married,Professional
Camping Equipment,Female,32,Married,Executive
Camping Equipment,Male,39,Married,Other
Camping Equipment,Male,39,Married,Other
Camping Equipment,Male,19,Single,Sales
Personal Accessories,Female,26,Single,Other
Camping Equipment,Male,42,Married,Other
Camping Equipment,Male,42,Married,Other
Camping Equipment,Female,41,Married,Other
Outdoor Protection,Female,41,Married,Other
Camping Equipment,Male,24,Single,Other
Camping Equipment,Female,48,Married,Other
Golf Equipment,Male,41,Married,Professional
Golf Equipment,Male,41,Married,Professional
Personal Accessories,Female,46,Married,Other
Camping Equipment,Female,39,Married,Other
Personal Accessories,Female,20,Single,Other
Camping Equipment,Female,19,Single,Other
Personal Accessories,Female,42,Married,Sales
Personal Accessories,Female,32,Married,Professional
Personal Accessories,Female,21,Single,Other
Mountaineering Equipment,Male,25,Single,Other
Mountaineering Equipment,Male,25,Single,Other
Personal Accessories,Female,48,Married,Professional
Camping Equipment,Male,30,Single,Other
Camping Equipment,Male,30,Single,Other
Mountaineering Equipment,Male,27,Single,Professional
Personal Accessories,Male,49,Married,Professional
Personal Accessories,Male,49,Married,Professional
Camping Equipment,Male,49,Married,Professional
Camping Equipment,Male,40,Married,Other
Camping Equipment,Female,38,Unspecified,Hospitality
Outdoor Protection,Female,38,Unspecified,Hospitality
Golf Equipment,Male,55,Unspecified,Other
Golf Equipment,Male,55,Unspecified,Other
Camping Equipment,Male,21,Single,Sales
Camping Equipment,Male,21,Single,Sales
Golf Equipment,Female,57,Married,Other
Golf Equipment,Female,57,Married,Other
Golf Equipment,Female,57,Married,Other
Personal Accessories,Female,24,Single,Sales
Camping Equipment,Female,34,Married,Executive
Camping Equipment,Female,34,Married,Executive
Mountaineering Equipment,Female,34,Married,Executive
Camping Equipment,Male,34,Married,Executive
Camping Equipment,Male,34,Married,Executive
Personal Accessories,Female,28,Single,Sales
Camping Equipment,Male,29,Single,Sales
Camping Equipment,Female,21,Married,Retail
Camping Equipment,Female,21,Married,Retail
Outdoor Protection,Female,21,Married,Retail
Golf Equipment,Female,39,Married,Other
Golf Equipment,Female,39,Married,Other
Golf Equipment,Female,39,Married,Other
Golf Equipment,Female,39,Married,Other
Personal Accessories,Male,34,Single,Trades
Outdoor Protection,Male,34,Single,Trades
Camping Equipment,Male,34,Married,Other
Camping Equipment,Female,34,Married,Executive
Camping Equipment,Female,26,Married,Other
Golf Equipment,Female,26,Married,Other
Personal Accessories,Female,37,Single,Other
Personal Accessories,Female,29,Single,Other
Mountaineering Equipment,Male,19,Single,Professional
Golf Equipment,Male,41,Married,Other
Golf Equipment,Male,41,Married,Other
Golf Equipment,Male,41,Married,Other
Personal Accessories,Female,27,Single,Professional
Camping Equipment,Male,33,Single,Trades
Personal Accessories,Female,38,Single,Other
Personal Accessories,Female,44,Married,Other
Camping Equipment,Female,40,Married,Other
Camping Equipment,Female,40,Married,Other
Camping Equipment,Female,40,Married,Other
Outdoor Protection,Female,40,Married,Other
Camping Equipment,Male,31,Married,Trades
Camping Equipment,Male,32,Married,Executive
Camping Equipment,Male,35,Married,Other
Camping Equipment,Male,35,Married,Other
Personal Accessories,Female,18,Single,Professional
Golf Equipment,Male,40,Married,Other
Golf Equipment,Male,40,Married,Other
Golf Equipment,Male,40,Married,Other
Golf Equipment,Male,57,Married,Trades
Golf Equipment,Male,57,Married,Trades
Camping Equipment,Male,20,Single,Other
Personal Accessories,Female,27,Single,Other
Golf Equipment,Female,51,Married,Other
Personal Accessories,Female,33,Single,Professional
Personal Accessories,Female,21,Single,Professional
Personal Accessories,Male,25,Single,Other
Camping Equipment,Female,32,Married,Other
Camping Equipment,Female,32,Married,Other
Camping Equipment,Female,32,Married,Other
Personal Accessories,Female,22,Married,Other
Personal Accessories,Female,26,Single,Other
Mountaineering Equipment,Male,22,Single,Sales
Camping Equipment,Male,22,Single,Sales
Camping Equipment,Male,25,Single,Student
Mountaineering Equipment,Male,25,Single,Student
Mountaineering Equipment,Male,25,Single,Student
Mountaineering Equipment,Female,26,Married,Other
Mountaineering Equipment,Female,26,Married,Other
Personal Accessories,Female,62,Married,Other
Camping Equipment,Male,21,Single,Trades
Camping Equipment,Male,21,Single,Trades
Camping Equipment,Female,31,Married,Hospitality
Camping Equipment,Female,31,Married,Hospitality
Camping Equipment,Male,19,Single,Professional
Personal Accessories,Male,19,Single,Professional
Mountaineering Equipment,Female,25,Single,Other
Golf Equipment,Female,25,Single,Other
Personal Accessories,Female,35,Single,Professional
Camping Equipment,Male,28,Single,Sales
Camping Equipment,Male,28,Single,Sales
Camping Equipment,Male,24,Single,Other
Camping Equipment,Female,37,Married,Other
Camping Equipment,Male,36,Married,Professional
Golf Equipment,Male,36,Married,Professional
Golf Equipment,Male,36,Married,Professional
Camping Equipment,Male,40,Married,Other
Camping Equipment,Male,40,Married,Other
Personal Accessories,Male,37,Married,Other
Personal Accessories,Female,67,Married,Other
Camping Equipment,Male,24,Single,Other
Mountaineering Equipment,Male,24,Single,Other
Camping Equipment,Female,23,Single,Other
Camping Equipment,Male,34,Married,Sales
Mountaineering Equipment,Male,19,Single,Other
Personal Accessories,Female,37,Single,Retail
Personal Accessories,Female,20,Single,Other
Personal Accessories,Female,38,Married,Professional
Personal Accessories,Female,25,Single,Other
Personal Accessories,Female,27,Single,Professional
Camping Equipment,Male,33,Married,Other
Camping Equipment,Male,33,Married,Other
Mountaineering Equipment,Male,33,Married,Other
Personal Accessories,Female,20,Single,Other
Mountaineering Equipment,Male,31,Single,Other
Camping Equipment,Male,42,Married,Other
Personal Accessories,Male,21,Single,Student
Golf Equipment,Male,48,Unspecified,Other
Golf Equipment,Male,48,Unspecified,Other
Golf Equipment,Male,48,Unspecified,Other
Personal Accessories,Female,49,Married,Other
Camping Equipment,Female,49,Married,Hospitality
Camping Equipment,Female,38,Married,Executive
Outdoor Protection,Female,38,Married,Executive
Camping Equipment,Male,31,Single,Professional
Camping Equipment,Female,24,Single,Other
Camping Equipment,Female,24,Single,Other
Camping Equipment,Female,24,Single,Other
Camping Equipment,Female,24,Single,Other
Camping Equipment,Male,25,Single,Other
Camping Equipment,Male,25,Single,Other
Mountaineering Equipment,Male,19,Single,Student
Camping Equipment,Male,30,Married,Other
Camping Equipment,Male,30,Married,Other
Mountaineering Equipment,Male,44,Single,Other
Camping Equipment,Female,26,Single,Other
Mountaineering Equipment,Female,36,Married,Other
Mountaineering Equipment,Male,42,Single,Other
Mountaineering Equipment,Male,42,Single,Other
Personal Accessories,Female,38,Married,Executive
Camping Equipment,Male,39,Married,Sales
Camping Equipment,Female,45,Married,Hospitality
Camping Equipment,Female,20,Single,Other
Camping Equipment,Female,33,Married,Other
Personal Accessories,Female,47,Married,Retired
Camping Equipment,Female,34,Married,Retail
Camping Equipment,Male,40,Married,Trades
Personal Accessories,Female,25,Married,Professional
Personal Accessories,Female,25,Single,Professional
Camping Equipment,Male,19,Single,Professional
Camping Equipment,Male,19,Single,Professional
Camping Equipment,Male,27,Married,Professional
Camping Equipment,Female,47,Unspecified,Hospitality
Camping Equipment,Male,40,Married,Trades
Camping Equipment,Male,40,Married,Trades
Camping Equipment,Male,40,Married,Trades
Camping Equipment,Male,29,Married,Professional
Personal Accessories,Female,19,Single,Student
Mountaineering Equipment,Male,34,Single,Professional
Mountaineering Equipment,Male,34,Single,Professional
Camping Equipment,Female,46,Married,Executive
Camping Equipment,Female,46,Married,Executive
Golf Equipment,Female,52,Married,Other
Camping Equipment,Male,38,Married,Executive
Camping Equipment,Male,38,Married,Executive
Camping Equipment,Male,43,Single,Sales
Camping Equipment,Female,30,Married,Hospitality
Golf Equipment,Female,31,Married,Other
Golf Equipment,Female,31,Married,Other
Golf Equipment,Female,31,Married,Other
Personal Accessories,Male,24,Single,Professional
Camping Equipment,Female,29,Single,Hospitality
Mountaineering Equipment,Female,39,Unspecified,Other
Mountaineering Equipment,Female,39,Unspecified,Other
Personal Accessories,Female,39,Unspecified,Other
Personal Accessories,Female,62,Married,Other
Personal Accessories,Female,29,Single,Professional
Personal Accessories,Female,51,Married,Other
Golf Equipment,Female,52,Married,Other
Golf Equipment,Female,52,Married,Other
Personal Accessories,Female,46,Married,Other
Mountaineering Equipment,Female,46,Married,Other
Camping Equipment,Male,22,Single,Professional
Personal Accessories,Female,52,Married,Other
Camping Equipment,Male,23,Single,Professional
Mountaineering Equipment,Male,29,Single,Trades
Camping Equipment,Male,40,Married,Sales
Camping Equipment,Male,37,Married,Sales
Camping Equipment,Male,37,Married,Sales
Camping Equipment,Male,40,Married,Sales
Golf Equipment,Male,56,Married,Other
Personal Accessories,Male,27,Single,Professional
Outdoor Protection,Male,27,Single,Professional
Personal Accessories,Female,52,Married,Other
Personal Accessories,Female,27,Single,Professional
Mountaineering Equipment,Male,20,Single,Trades
Camping Equipment,Male,44,Married,Trades
Camping Equipment,Male,44,Married,Trades
Camping Equipment,Male,40,Married,Trades
Camping Equipment,Male,38,Married,Sales
Mountaineering Equipment,Male,19,Single,Sales
Personal Accessories,Male,19,Single,Sales
Personal Accessories,Male,24,Single,Student
Personal Accessories,Female,48,Married,Other
Mountaineering Equipment,Female,27,Single,Student
